"Año","Exportaciones_FOB","Variación_interanual_eje_derecho","Participación_sobre_total_exportado"
2000,27.79955547,0.677734345348975,0.0404006094465444
2001,27.21336894,-0.021086183577021,0.0356065072886026
2002,20.88437198,-0.232569402706227,0.0232994389115037
2003,26.86031341,0.286144176886089,0.0268289831930785
2004,42.84038009,0.59493224952657,0.0320222721063274
2005,54.31528663,0.267852584778503,0.0343888169850269
2006,62.78001967,0.155844396029104,0.0224241236289047
2007,59.50596951,-0.0521511489994728,0.0201945846291452
2008,83.50562172,0.403315035577512,0.0307045398310847
2009,56.23695407,-0.326548884833571,0.0219066125763926
2010,71.00452311,0.262595463858486,0.0168575025033249
2011,54.80225958,-0.228186358000032,0.0111776938702389
2012,58.43800105,0.0663429117314509,0.0117306007349443
2013,61.07619959,0.0451452563845012,0.0158543250611851
2014,80.44488324,0.317123262089333,0.0220530405770005
2015,90.93398796,0.130388712091317,0.0255669733352883
2016,191.93203185,1.1106743051281,0.053853776307424
2017,223.85813971,0.166340696507351,0.0605951081251542
2018,274.57276977,0.226548072478843,0.0795785960899122
2019,195.43026581,-0.288238720927406,0.0601746723433247
2020,128.87188144,-0.34057357540878,0.0491735518079027
2021,208.16596733,0.615293926060338,0.0641807178626038
2022,695.04248706,2.33888625491874,0.180163101709548
2023,849.24033948,0.221853851082184,0.209122972964614
2024,645.39944298,-0.240027336224766,0.138078490429134
2025,914.9053873,0.417580069600946,0.150611756991294
